AreaCode,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,OTHER_ROOMS,PARK_FACILITY,BUILDINGTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,REG_FEE,COMMIS,SALES_PRICE
4,1004,131,1,1,1,1,1,1,2,1,4,3.9,4.9,380000,144400,7600000
2,1986,26,2,1,2,0,1,1,1,4,4.9,4.2,2.5,760122,304049,21717770
1,909,70,1,1,1,1,1,2,1,5,4.1,3.8,2.2,421094,92114,13159200
7,1855,14,3,2,0,0,3,3,2,3,4.7,3.9,3.6,356321,77042,9630290
4,1226,84,1,1,1,1,3,1,1,2,3,2.5,4.1,237000,74063,7406250
3,1220,36,2,1,1,0,1,3,0,4,4.5,2.6,3.1,409027,198316,12394750
3,1167,137,1,1,1,0,3,1,0,5,3.6,2.1,2.5,263152,33955,8488790
7,1847,176,3,2,0,0,1,1,1,6,2.4,4.5,2.1,604809,235204,16800250
3,771,175,1,1,0,0,3,3,2,6,2.9,3.7,4,257578,33236,8308970
7,1635,74,2,1,1,0,3,2,0,3,3.1,3.1,3.3,323346,121255,8083650
3,1203,78,2,1,1,1,1,1,0,6,4,3.2,4.5,403326,119504,14938000
3,1054,143,1,1,1,0,3,3,1,6,2.2,3.1,3.3,245693,141746,9449730
3,1196,137,1,1,1,0,3,3,0,5,2.1,2.5,2.1,289554,35097,8774370
1,1056,83,1,1,1,1,3,3,2,4,2.2,3.4,3.7,319141,37546,9386490
7,1865,157,3,2,0,0,1,3,2,6,4.8,2.2,4.9,619987,294494,15499680
7,1868,148,3,2,0,0,1,3,1,4,3.8,3.8,3.1,597135,188569,15714080
4,1639,175,2,2,0,1,2,2,1,3,2.3,3.2,4.8,285648,77904,8656000
3,796,134,1,1,0,1,1,1,0,5,3.5,4.6,4.7,316464,130951,10912550
1,1136,69,1,1,1,1,3,1,2,1,4.6,2.6,2.9,323214,49725,8287550
2,1902,168,2,1,2,1,1,2,2,5,4.5,4.9,4.9,742113,212032,21203240
3,1069,53,1,1,1,1,3,3,2,6,2.8,2.7,4.9,283544,43622,10905530
3,931,96,1,1,1,1,3,2,2,5,4.2,3.1,3.1,248021,27558,9185970
5,2010,114,3,2,0,0,3,3,1,4,3.4,4.5,3.4,327762,262210,10925400
3,1074,100,1,1,1,0,3,3,1,5,3,3.4,4.9,288821,86646,9627380
6,1972,111,2,1,2,0,3,3,0,4,4.1,4.4,2.8,487297,167073,13922760
6,1685,105,1,1,2,0,2,3,1,6,2.8,4.4,4,352830,176415,12601080
1,1130,29,1,1,1,1,1,2,2,4,2.3,2.5,2.2,468417,53533,13383350
4,1301,59,1,1,1,1,3,3,1,2,2.8,2.7,3.8,357283,71457,7939625
1,730,185,1,1,0,1,2,2,1,5,2.7,4.6,4.9,265449,53090,8848285
6,1806,138,2,1,2,0,2,3,2,4,4.1,5,3,430852,113382,11338200
2,1981,173,2,1,2,0,2,2,0,5,2,3.1,3.2,373300,218831,12872430
1,868,15,1,1,1,0,3,3,1,5,2.3,2.1,2,325514,72336,9042050
6,1721,117,1,1,2,1,3,2,2,6,2,2.8,2.9,416483,223116,14874380
7,1755,16,2,1,1,1,3,1,1,1,4.8,4.5,4.5,306671,173780,10222380
2,1709,130,1,1,2,0,3,3,1,4,4.8,3.2,4.3,452501,90500,12928590
5,2114,46,3,2,0,1,1,3,1,4,2.7,3,3.9,632334,281037,17564820
4,1226,180,1,1,1,0,2,1,2,1,4,3.7,4.7,154109,114339,4971250
7,1648,111,2,1,1,1,3,3,2,2,4.3,2.9,2,275120,82536,9170660
3,856,36,1,1,1,1,3,3,1,6,2.1,3.6,3.5,332269,103834,10383420
1,904,52,1,1,1,0,1,2,0,6,3.8,3.2,2.6,348042,23203,11601400
3,1198,105,1,1,1,0,3,1,0,4,3.9,3.4,4.4,255727,98991,8249260
4,931,16,1,1,1,0,1,1,2,1,4,4.2,2.4,291669,166668,6944500
4,1290,86,1,1,1,1,2,1,2,4,3.1,2.1,4.1,364015,92940,7745000
4,507,49,1,1,0,1,2,2,1,4,2.6,4.6,4.6,252032,74464,5728000
5,2492,113,4,2,0,0,1,3,2,5,4.3,4.6,3.8,917550,224706,18725520
4,851,105,1,1,0,0,2,1,0,2,4,3.8,2.5,167896,39295,3572250
6,1882,189,2,1,2,1,3,2,1,6,3.9,4.5,4.7,433393,272877,16051580
2,1710,15,1,1,2,1,1,1,1,4,2.7,4,2.2,808639,161728,20215970
4,1412,28,2,2,0,0,2,2,1,5,4.1,2.9,3.1,251370,192717,8379000
1,779,51,1,1,0,0,2,3,0,2,3.6,4.4,2.4,190463,31744,5290635
6,1655,19,1,1,2,0,3,1,1,4,2.1,4.3,3.9,376468,238430,12548930
4,940,167,1,1,1,0,2,1,2,4,2.7,2.7,4.1,263599,64435,5857750
5,1667,126,2,1,1,1,2,3,2,6,4.8,2.1,5,364810,268243,10729700
5,1926,49,3,2,0,1,1,3,2,6,3.1,2.9,4.7,816325,153061,17006780
1,718,75,1,1,0,1,3,2,0,2,2,3.9,3.4,211662,55701,5570050
4,545,154,1,1,0,0,3,2,0,4,3.1,2.2,3.4,165738,88651,3854375
4,1249,25,1,1,1,1,3,2,1,4,2.8,3.7,3.5,318010,120328,8594875
6,1894,187,2,1,2,1,2,3,1,5,2,3.7,4.4,406478,162591,13549250
4,1469,200,2,2,0,0,1,3,0,2,4.7,2,2.4,284423,132731,9480750
1,916,32,1,1,1,1,2,2,0,1,3.6,3,3.9,228053,23390,5847520
3,934,11,1,1,1,1,2,3,2,6,3.4,4,3.8,310749,58265,9710900
4,1691,100,2,2,0,0,2,3,1,6,4,3.9,3.5,319558,178576,9398750
4,1236,36,1,1,1,0,1,3,2,3,3.3,3.3,2,334638,114481,8806250
6,1577,23,1,1,2,1,3,3,2,4,3.8,4.7,3.9,302183,193397,12087330
2,1915,13,2,1,2,1,3,3,1,4,4.6,2.3,4.5,354391,170107,14175620
2,1600,154,1,1,2,1,2,2,1,4,3.9,2.7,2.5,309941,166891,11920820
7,1579,58,2,1,1,1,1,2,2,3,4.6,2.3,2.3,467766,240565,13364730
1,1260,89,2,2,0,0,3,3,0,1,3.8,4.1,4.5,256150,34615,6922975
1,1021,176,1,1,1,0,1,3,2,3,3.5,4.8,2.5,361868,175098,11673175
5,2174,48,3,2,0,1,3,1,2,6,2.9,2.1,2.3,548929,313674,13069740
1,668,177,1,1,0,1,1,3,1,3,4.9,2.9,3.5,329074,102836,10283575
7,1724,116,2,1,1,1,2,2,0,5,3.8,2.2,2,358259,152260,8956480
1,890,116,1,1,1,1,2,3,2,2,2.5,4.7,5,251557,43124,7187350
1,1218,51,2,2,0,0,1,1,0,3,4.7,3.9,3.3,377246,138323,12574850
2,1792,41,1,1,2,1,2,2,1,6,2.7,2.6,2,514532,250313,13906270
4,1378,192,2,2,0,0,3,3,1,6,4.2,2.8,2.6,297525,208268,9917500
4,898,72,1,1,1,1,1,3,2,4,2.4,3.1,2.1,345190,215744,8629750
2,1928,148,2,1,2,0,2,1,0,4,3.4,4.1,2.4,466682,105003,11667050
3,1233,24,2,1,1,0,2,3,1,6,2.2,2,4.6,245429,107989,9817150
7,1618,100,2,1,1,1,3,3,2,2,4,4.3,4.1,370522,92631,9263050
4,627,49,1,1,0,0,2,3,1,6,4.3,2.8,2.5,223975,92225,6587500
7,1563,43,2,1,1,0,2,3,1,6,4.7,4.5,2.6,303780,195987,9799360
4,1693,187,2,2,0,1,1,3,1,2,3.9,2.1,3.9,384045,166420,12801500
6,1522,85,1,1,2,0,1,1,1,5,4.2,3.6,3.5,506181,174545,17454510
1,1090,171,1,1,1,1,3,3,1,4,3.1,2.7,2.3,373632,98324,9832420
3,1085,149,1,1,1,1,1,3,1,5,2.8,3.8,4.6,387815,100545,14363500
6,1687,73,1,1,2,0,3,3,2,4,4.6,4.6,2,411733,224582,12476770
1,692,62,1,1,0,1,1,1,2,4,4.1,4.4,5,394491,124576,10381355
6,1518,145,1,1,2,1,1,1,2,4,3.7,3.5,4.1,457606,158402,17600240
1,1025,125,1,1,1,0,1,3,2,3,2.5,2.5,2.7,349916,142153,10934875
5,2170,121,3,2,0,1,2,3,1,5,3.7,4.6,4,593864,284560,12372160
3,969,70,1,1,1,1,1,2,0,4,3.4,2.4,4,337463,146234,11248750
5,1546,129,2,1,1,0,1,1,1,6,2.5,4.3,2.8,441475,142411,14241140
5,1709,6,2,1,1,1,2,3,2,5,4.3,3.7,2,467388,233694,10160600
6,1659,103,1,1,2,1,3,3,0,5,3.8,2.3,3.8,433251,216625,13539080
3,755,8,1,1,0,0,1,2,1,6,3.8,4.4,2.7,289649,42911,10727750
1,1182,50,1,1,1,1,2,1,0,5,3.2,3.5,3.1,374948,39468,9867055
1,735,67,1,1,0,0,1,3,0,4,2.7,4,4,284361,132702,9478710
3,1089,0,1,1,1,1,2,2,2,5,2.7,2.9,3.1,235305,45251,9050200
7,1534,6,2,1,1,1,3,2,2,2,4.7,4.6,2.3,284552,63234,7904210
2,1622,147,1,1,2,1,2,2,1,5,4.4,3.7,4.2,378840,209015,13063450
5,2198,71,3,2,0,1,3,3,1,6,4.8,4.2,3.9,679249,122265,13584980
3,1293,34,2,1,1,0,1,2,0,5,3.1,2.2,3.8,419714,157393,13116050
5,1641,178,2,1,1,0,3,1,1,5,4.6,4.4,3.1,460580,190239,10012600
7,1950,185,3,2,0,1,3,3,2,5,5,4.2,3.4,411601,84741,12105920
4,1245,106,1,1,1,0,3,3,2,1,4.1,2.9,3.5,201653,113123,4918375
3,905,144,1,1,1,0,3,2,1,4,3.8,3.5,4,223393,77032,7703200
5,1496,135,2,1,1,0,2,3,1,4,3.2,3.8,2.8,265641,137105,8569080
7,1892,38,3,2,0,1,2,2,1,6,3.9,3.5,4.8,449425,133613,12146620
7,1517,40,2,1,1,0,1,2,2,2,4,4.6,2.9,408507,116716,11671620
1,1034,73,1,1,1,1,3,2,1,2,3.8,3.3,3.5,277702,46284,9256740
7,1755,142,2,1,1,1,1,3,1,3,4.6,4,3.9,581720,193907,14915900
